g_id,node,chem
molecule_4076,57,H
molecule_4076,58,H
molecule_4076,59,H
molecule_4076,60,H
molecule_4076,61,H
molecule_4076,62,H
molecule_4076,63,H
molecule_4076,64,H
molecule_4076,65,H
molecule_4076,66,H
molecule_4076,67,H
molecule_4076,68,H
molecule_4076,69,H
molecule_4076,70,H
molecule_4076,71,H
molecule_4076,72,H
molecule_4076,73,H
molecule_4076,74,H
molecule_4076,75,H
molecule_4076,76,H
molecule_4076,77,H
molecule_4076,78,H
molecule_4076,79,H
molecule_4076,80,H
molecule_4076,81,H
molecule_4076,82,H
molecule_4076,83,H
molecule_4076,84,H
molecule_4076,85,H
molecule_4076,86,H
molecule_3656,1,O
molecule_3656,2,C
molecule_3656,3,C
molecule_3656,4,C
molecule_3656,5,C
molecule_3656,6,C
molecule_3656,7,C
molecule_3656,8,O
molecule_3656,9,C
molecule_3656,10,H
molecule_3656,11,H
molecule_3656,12,H
molecule_3656,13,H
molecule_3656,14,H
molecule_3656,15,H
molecule_3656,16,H
molecule_3656,17,H
molecule_3656,18,H
molecule_3656,19,H
molecule_3656,20,H
molecule_3656,21,H
molecule_3326,1,P
molecule_3326,2,N
molecule_3326,3,N
molecule_3326,4,O
molecule_3326,5,O
molecule_3326,6,C
molecule_3326,7,C
molecule_3326,8,C
molecule_3326,9,C
molecule_3326,10,C
molecule_3326,11,C
molecule_3326,12,C
molecule_3326,13,Cl
molecule_3326,14,Cl
molecule_3326,15,H
molecule_3326,16,H
molecule_3326,17,H
molecule_3326,18,H
molecule_3326,19,H
molecule_3326,20,H
molecule_3326,21,H
molecule_3326,22,H
molecule_3326,23,H
molecule_3326,24,H
molecule_3326,25,H
molecule_3326,26,H
molecule_3326,27,H
molecule_3326,28,H
molecule_3326,29,H
molecule_2814,1,C
molecule_2814,2,N
molecule_2814,3,C
molecule_2814,4,C
molecule_2814,5,C
molecule_2814,6,Cl
molecule_2814,7,H
molecule_2814,8,H
molecule_2814,9,H
molecule_2814,10,H
molecule_2814,11,H
molecule_2814,12,H
molecule_2814,13,H
molecule_2814,14,H
molecule_2814,15,H
molecule_2814,16,H
molecule_4049,1,C
molecule_4049,2,C
molecule_4049,3,O
molecule_4049,4,C
molecule_4049,5,C
molecule_4049,6,C
molecule_4049,7,C
molecule_4049,8,C
molecule_4049,9,C
molecule_4049,10,O
molecule_4049,11,O
molecule_4049,12,O
molecule_4049,13,C
molecule_4049,14,O
molecule_4049,15,O
molecule_4049,16,C
molecule_4049,17,C
molecule_4049,18,C
molecule_4049,19,C
molecule_4049,20,C
molecule_4049,21,O
molecule_4049,22,C
molecule_4049,23,O
molecule_4049,24,C
molecule_4049,25,C
molecule_4049,26,C
molecule_4049,27,O
molecule_4049,28,C
molecule_4049,29,C
molecule_4049,30,C
molecule_4049,31,O
molecule_4049,32,C
molecule_4049,33,N
molecule_4049,34,C
molecule_4049,35,C
molecule_4049,36,C
molecule_4049,37,O
molecule_4049,38,O
molecule_4049,39,C
molecule_4049,40,C
molecule_4049,41,C
molecule_4049,42,C
molecule_4049,43,C
molecule_4049,44,C
molecule_4049,45,O
molecule_4049,46,C
molecule_4049,47,C
molecule_4049,48,C
molecule_4049,49,C
molecule_4049,50,O
molecule_4049,51,C
molecule_4049,52,C
molecule_4049,53,C
molecule_4049,54,O
molecule_4049,55,O
molecule_4049,56,C
molecule_4049,57,C
molecule_4049,58,C
molecule_4049,59,C
molecule_4049,60,C
molecule_4049,61,C
molecule_4049,62,C
molecule_4049,63,C
molecule_4049,64,C
molecule_4049,65,O
molecule_4049,66,H
molecule_4049,67,H
molecule_4049,68,H
molecule_4049,69,H
molecule_4049,70,H
molecule_4049,71,H
molecule_4049,72,H
molecule_4049,73,H
molecule_4049,74,H
molecule_4049,75,H
molecule_4049,76,H
molecule_4049,77,H
molecule_4049,78,H
molecule_4049,79,H
molecule_4049,80,H
molecule_4049,81,H
molecule_4049,82,H
molecule_4049,83,H
molecule_4049,84,H
molecule_4049,85,H
molecule_4049,86,H
molecule_4049,87,H
molecule_4049,88,H
molecule_4049,89,H
molecule_4049,90,H
molecule_4049,91,H
molecule_4049,92,H
molecule_4049,93,H
molecule_4049,94,H
molecule_4049,95,H
molecule_4049,96,H
molecule_4049,97,H
molecule_4049,98,H
molecule_4049,99,H
molecule_4049,100,H
molecule_4049,101,H
molecule_4049,102,H
molecule_4049,103,H
molecule_4049,104,H
molecule_4049,105,H
molecule_4049,106,H
molecule_4049,107,H
molecule_4049,108,H
molecule_4049,109,H
molecule_4049,110,H
molecule_4049,111,H
molecule_4049,112,H
molecule_4049,113,H
molecule_4049,114,H
molecule_4049,115,H
molecule_4049,116,H
molecule_4049,117,H
molecule_4049,118,H
molecule_4049,119,H
molecule_4049,120,H
molecule_4049,121,H
molecule_4049,122,H
molecule_4049,123,H
molecule_4049,124,H
molecule_4049,125,H
molecule_4049,126,H
molecule_4049,127,H
molecule_4049,128,H
molecule_4049,129,H
molecule_4049,130,H
molecule_4049,131,H
molecule_4049,132,H
molecule_4049,133,H
molecule_4049,134,H
molecule_4049,135,H
molecule_4049,136,H
molecule_4049,137,H
molecule_4049,138,H
molecule_3698,1,C
molecule_3698,2,C
molecule_3698,3,C
molecule_3698,4,O
molecule_3698,5,O
molecule_3698,6,C
molecule_3698,7,C
molecule_3698,8,C
molecule_3698,9,C
molecule_3698,10,C
molecule_3698,11,C
molecule_3698,12,C
molecule_3698,13,C
molecule_3698,14,C
molecule_3698,15,C
molecule_3698,16,C
molecule_3698,17,O
molecule_3698,18,O
molecule_3698,19,C
molecule_3698,20,C
molecule_3698,21,C
molecule_3698,22,C
molecule_3698,23,H
molecule_3698,24,H
molecule_3698,25,H
molecule_3698,26,H
molecule_3698,27,H
molecule_3698,28,H
molecule_3698,29,H
molecule_3698,30,H
molecule_3698,31,H
molecule_3698,32,H
molecule_3698,33,H
molecule_3698,34,H
molecule_3698,35,H
molecule_3698,36,H
molecule_3698,37,H
molecule_3698,38,H
molecule_3698,39,H
molecule_3698,40,H
molecule_3698,41,H
molecule_3698,42,H
molecule_3698,43,H
molecule_3698,44,H
molecule_3698,45,H
molecule_3698,46,H
molecule_3698,47,H
molecule_3698,48,H
molecule_3698,49,H
molecule_3698,50,H
molecule_3698,51,H
molecule_3698,52,H
molecule_3698,53,H
molecule_3698,54,H
molecule_3698,55,H
molecule_3698,56,H
molecule_3480,1,C
molecule_3480,2,C
molecule_3480,3,C
molecule_3480,4,Cl
molecule_3480,5,O
molecule_3480,6,H
molecule_3480,7,H
molecule_3480,8,H
molecule_3480,9,H
molecule_3480,10,H
molecule_3480,11,H
molecule_3480,12,H
molecule_3845,1,C
molecule_3845,2,O
molecule_3845,3,O
molecule_3845,4,C
molecule_3845,5,C
molecule_3845,6,O
molecule_3845,7,H
molecule_3845,8,H
molecule_3845,9,H
molecule_3845,10,H
molecule_3845,11,H
molecule_3845,12,H
molecule_3493,1,C
molecule_3493,2,C
molecule_3493,3,C
molecule_3493,4,C
molecule_3493,5,C
molecule_3493,6,C
molecule_3493,7,C
molecule_3493,8,C
molecule_3493,9,C
molecule_3493,10,C
molecule_3493,11,C
molecule_3493,12,C
molecule_3493,13,C
molecule_3493,14,C
molecule_3493,15,C
molecule_3493,16,C
molecule_3493,17,C
molecule_3493,18,N
molecule_3493,19,C
molecule_3493,20,C
molecule_3493,21,O
molecule_3493,22,C
molecule_3493,23,H
molecule_3493,24,H
molecule_3493,25,H
molecule_3493,26,H
molecule_3493,27,H
molecule_3493,28,H
molecule_3493,29,H
molecule_3493,30,H
molecule_3493,31,H
molecule_3493,32,H
molecule_3493,33,H
molecule_2805,1,N
molecule_2805,2,C
molecule_2805,3,C
molecule_2805,4,N
molecule_2805,5,C
molecule_2805,6,C
molecule_2805,7,O
molecule_2805,8,H
molecule_2805,9,H
molecule_2805,10,H
molecule_2805,11,H
molecule_2805,12,H
molecule_2805,13,H
molecule_2805,14,H
molecule_2805,15,H
molecule_3914,1,P
molecule_3914,2,O
molecule_3914,3,O
molecule_3914,4,O
molecule_3914,5,O
molecule_3914,6,C
molecule_3914,7,C
molecule_3914,8,C
molecule_3914,9,C
molecule_3914,10,C
molecule_3914,11,C
molecule_3914,12,C
molecule_3914,13,C
molecule_3914,14,C
molecule_3914,15,C
molecule_3914,16,C
molecule_3914,17,C
molecule_3914,18,C
molecule_3914,19,C
molecule_3914,20,C
molecule_3914,21,C
molecule_3914,22,C
molecule_3914,23,C
molecule_3914,24,C
molecule_3914,25,C
molecule_3914,26,C
molecule_3914,27,H
molecule_3914,28,H
molecule_3914,29,H
molecule_3914,30,H
molecule_3914,31,H
molecule_3914,32,H
molecule_3914,33,H
molecule_3914,34,H
molecule_3914,35,H
molecule_3914,36,H
molecule_3914,37,H
molecule_3914,38,H
molecule_3914,39,H
molecule_3914,40,H
molecule_3914,41,H
molecule_3914,42,H
molecule_3914,43,H
molecule_3914,44,H
molecule_3914,45,H
molecule_3914,46,H
molecule_3914,47,H
molecule_3252,1,C
molecule_3252,2,C
molecule_3252,3,C
molecule_3252,4,C
molecule_3252,5,O
molecule_3252,6,C
molecule_3252,7,C
molecule_3252,8,C
molecule_3252,9,C
molecule_3252,10,C
molecule_3252,11,O
molecule_3252,12,H
molecule_3252,13,H
molecule_3252,14,H
molecule_3252,15,H
molecule_3252,16,H
molecule_3252,17,H
molecule_3252,18,H
molecule_3252,19,H
molecule_3252,20,H
molecule_3252,21,H
molecule_3149,1,C
molecule_3149,2,C
molecule_3149,3,C
molecule_3149,4,C
molecule_3149,5,C
molecule_3149,6,Cl
molecule_3149,7,O
molecule_3149,8,O
molecule_3149,9,Cl
molecule_3149,10,Cl
molecule_3149,11,O
molecule_3149,12,H
molecule_3149,13,H
molecule_3149,14,H
molecule_4002,1,S
molecule_4002,2,O
molecule_4002,3,O
molecule_4002,4,O
molecule_4002,5,C
molecule_4002,6,C
molecule_4002,7,C
molecule_4002,8,C
molecule_4002,9,C
molecule_4002,10,C
molecule_4002,11,C
molecule_4002,12,C
molecule_4002,13,C
molecule_4002,14,S
molecule_4002,15,N
molecule_4002,16,O
molecule_4002,17,C
molecule_4002,18,O
molecule_4002,19,O
molecule_4002,20,O
molecule_4002,21,N
molecule_4002,22,N
molecule_4002,23,C
molecule_4002,24,C
molecule_4002,25,C
molecule_4002,26,O
molecule_4002,27,C
molecule_4002,28,C
molecule_4002,29,C
molecule_4002,30,C
molecule_4002,31,C
molecule_4002,32,C
molecule_4002,33,C
molecule_4002,34,C
molecule_4002,35,C
molecule_4002,36,O
molecule_4002,37,C
molecule_4002,38,C
molecule_4002,39,N
molecule_4002,40,N
molecule_4002,41,C
molecule_4002,42,C
molecule_4002,43,C
molecule_4002,44,O
molecule_4002,45,C
molecule_4002,46,C
molecule_4002,47,C
molecule_4002,48,C
molecule_4002,49,C
molecule_4002,50,N
molecule_4002,51,C
molecule_4002,52,S
molecule_4002,53,C
molecule_4002,54,S
molecule_4002,55,O
molecule_4002,56,O
molecule_4002,57,O
molecule_4002,58,O
molecule_4002,59,O
molecule_4002,60,O
molecule_4002,61,H
molecule_4002,62,H
molecule_4002,63,H
molecule_4002,64,H
molecule_4002,65,H
molecule_4002,66,H
molecule_4002,67,H
molecule_4002,68,H
molecule_4002,69,H
molecule_4002,70,H
molecule_4002,71,H
molecule_4002,72,H
molecule_4002,73,H
molecule_4002,74,H
molecule_4002,75,H
molecule_4002,76,H
molecule_4002,77,H
molecule_4002,78,H
molecule_4002,79,H
molecule_4002,80,H
molecule_4002,81,H
molecule_4002,82,H
molecule_4002,83,H
molecule_4002,84,H
molecule_4002,85,H
molecule_4002,86,H
molecule_4002,87,H
molecule_4002,88,H
molecule_3728,1,C
molecule_3728,2,C
molecule_3728,3,C
molecule_3728,4,C
molecule_3728,5,N
molecule_3728,6,C
molecule_3728,7,C
molecule_3728,8,C
molecule_3728,9,C
molecule_3728,10,C
molecule_3728,11,C
molecule_3728,12,H
molecule_3728,13,H
molecule_3728,14,H
molecule_3728,15,H
molecule_3728,16,H
molecule_3728,17,H
molecule_3728,18,H
molecule_3728,19,H
molecule_3728,20,H
molecule_3081,1,C
molecule_3081,2,C
molecule_3081,3,C
molecule_3081,4,N
molecule_3081,5,C
molecule_3081,6,N
molecule_3081,7,C
molecule_3081,8,C
molecule_3081,9,C
molecule_3081,10,C
molecule_3081,11,C
molecule_3081,12,C
molecule_3081,13,N
molecule_3081,14,C
molecule_3081,15,H
molecule_3081,16,H
molecule_3081,17,H
molecule_3081,18,H
molecule_3081,19,H
molecule_3081,20,H
molecule_3081,21,H
molecule_3081,22,H
molecule_3081,23,H
molecule_3081,24,H
molecule_3081,25,H
molecule_3081,26,H
molecule_3081,27,H
molecule_3576,1,C
molecule_3576,2,C
molecule_3576,3,C
molecule_3576,4,N
molecule_3576,5,C
molecule_3576,6,C
molecule_3576,7,C
molecule_3576,8,C
molecule_3576,9,C
molecule_3576,10,C
molecule_3576,11,N
molecule_3576,12,O
molecule_3576,13,C
molecule_3576,14,C
molecule_3576,15,C
molecule_3576,16,C
molecule_3576,17,O
molecule_3576,18,C
molecule_3576,19,C
molecule_3576,20,O
molecule_3576,21,H
molecule_3576,22,H
molecule_3576,23,H
molecule_3576,24,H
molecule_3576,25,H
molecule_3576,26,H
molecule_3576,27,H
molecule_3576,28,H
molecule_3576,29,H
molecule_3576,30,H
molecule_3576,31,H
molecule_3576,32,H
molecule_3264,1,C
molecule_3264,2,C
molecule_3264,3,C
molecule_3264,4,C
molecule_3264,5,C
molecule_3264,6,O
molecule_3264,7,O
molecule_3264,8,O
molecule_3264,9,O
molecule_3264,10,H
molecule_3264,11,H
molecule_3264,12,H
molecule_3264,13,H
molecule_3264,14,H
molecule_3264,15,H
molecule_3264,16,H
molecule_3264,17,H
molecule_3264,18,H
molecule_3264,19,H
molecule_3264,20,H
molecule_3264,21,H
molecule_4020,1,C
molecule_4020,2,C
molecule_4020,3,O
molecule_4020,4,C
molecule_4020,5,C
molecule_4020,6,C
molecule_4020,7,C
molecule_4020,8,C
molecule_4020,9,C
molecule_4020,10,C
molecule_4020,11,C
molecule_4020,12,C
molecule_4020,13,C
molecule_4020,14,C
molecule_4020,15,C
molecule_4020,16,O
molecule_4020,17,C
molecule_4020,18,C
molecule_4020,19,C
molecule_4020,20,C
molecule_4020,21,C
molecule_4020,22,C
molecule_4020,23,C
molecule_4020,24,C
molecule_4020,25,C
molecule_4020,26,C
molecule_4020,27,C
molecule_4020,28,C
molecule_4020,29,C
molecule_4020,30,C
molecule_4020,31,C
molecule_4020,32,H
molecule_4020,33,H
molecule_4020,34,H
molecule_4020,35,H
molecule_4020,36,H
molecule_4020,37,H
molecule_4020,38,H
molecule_4020,39,H
molecule_4020,40,H
molecule_4020,41,H
molecule_4020,42,H
molecule_4020,43,H
molecule_4020,44,H
molecule_4020,45,H
molecule_4020,46,H
molecule_4020,47,H
molecule_4020,48,H
molecule_4020,49,H
molecule_4020,50,H
molecule_4020,51,H
molecule_4020,52,H
molecule_4020,53,H
molecule_4020,54,H
molecule_4020,55,H
molecule_4020,56,H
molecule_4020,57,H
molecule_4020,58,H
molecule_4020,59,H
molecule_4020,60,H
molecule_4020,61,H
molecule_4020,62,H
molecule_4020,63,H
molecule_4020,64,H
molecule_4020,65,H
molecule_4020,66,H
molecule_4020,67,H
molecule_4020,68,H
molecule_4020,69,H
molecule_4020,70,H
molecule_4020,71,H
molecule_4020,72,H
molecule_4020,73,H
molecule_4020,74,H
molecule_4020,75,H
molecule_4020,76,H
molecule_4020,77,H
molecule_4020,78,H
molecule_4020,79,H
molecule_4020,80,H
molecule_4020,81,H
molecule_3836,1,C
molecule_3836,2,C
molecule_3836,3,C
molecule_3836,4,C
molecule_3836,5,O
molecule_3836,6,H
molecule_3836,7,H
molecule_3836,8,H
molecule_3836,9,H
molecule_3836,10,H
molecule_3836,11,H
molecule_3836,12,H
molecule_3836,13,H
molecule_3836,14,H
molecule_3836,15,H
molecule_3678,1,C
molecule_3678,2,C
molecule_3678,3,C
molecule_3678,4,C
molecule_3678,5,C
molecule_3678,6,C
molecule_3678,7,N
molecule_3678,8,C
molecule_3678,9,C
molecule_3678,10,C
molecule_3678,11,C
molecule_3678,12,C
molecule_3678,13,C
molecule_3678,14,Cl
molecule_3678,15,C
molecule_3678,16,C
molecule_3678,17,C
molecule_3678,18,O
molecule_3678,19,O
molecule_3678,20,H
molecule_3678,21,H
molecule_3678,22,H
molecule_3678,23,H
molecule_3678,24,H
molecule_3678,25,H
molecule_3678,26,H
molecule_3678,27,H
molecule_3678,28,H
molecule_3678,29,H
molecule_3678,30,H
molecule_3678,31,H
molecule_2964,1,C
molecule_2964,2,C
molecule_2964,3,C
molecule_2964,4,O
molecule_2964,5,C
molecule_2964,6,C
molecule_2964,7,C
molecule_2964,8,N
molecule_2964,9,C
molecule_2964,10,C
molecule_2964,11,O
molecule_2964,12,C
molecule_2964,13,P
molecule_2964,14,O
molecule_2964,15,O
molecule_2964,16,O
molecule_2964,17,C
molecule_2964,18,C
molecule_2964,19,C
molecule_2964,20,C
molecule_2964,21,H
molecule_2964,22,H
molecule_2964,23,H
molecule_2964,24,H
molecule_2964,25,H
molecule_2964,26,H
molecule_2964,27,H
molecule_2964,28,H
molecule_2964,29,H
molecule_2964,30,H
molecule_2964,31,H
molecule_2964,32,H
molecule_2964,33,H
molecule_2964,34,H
molecule_2964,35,H
molecule_2964,36,H
molecule_3112,1,C
molecule_3112,2,C
molecule_3112,3,C
molecule_3112,4,C
molecule_3112,5,C
molecule_3112,6,C
molecule_3112,7,C
molecule_3112,8,O
molecule_3112,9,C
molecule_3112,10,O
molecule_3112,11,C
molecule_3112,12,O
molecule_3112,13,C
molecule_3112,14,C
molecule_3112,15,C
molecule_3112,16,C
molecule_3112,17,C
molecule_3112,18,O
molecule_3112,19,H
molecule_3112,20,H
molecule_3112,21,H
molecule_3112,22,H
molecule_3112,23,H
molecule_3112,24,H
molecule_3112,25,H
molecule_3112,26,H
molecule_4095,1,C
molecule_4095,2,C
molecule_4095,3,C
molecule_4095,4,N
molecule_4095,5,N
molecule_4095,6,N
molecule_4095,7,N
molecule_4095,8,S
molecule_4095,9,C
molecule_4095,10,C
molecule_4095,11,H
molecule_4095,12,H
molecule_4095,13,H
molecule_4095,14,H
molecule_2960,1,C
molecule_2960,2,C
molecule_2960,3,C
molecule_2960,4,C
molecule_2960,5,C
molecule_2960,6,C
molecule_2960,7,C
molecule_2960,8,C
molecule_2960,9,C
molecule_2960,10,O
molecule_2960,11,H
molecule_2960,12,H
molecule_2960,13,H
molecule_2960,14,H
molecule_2960,15,H
molecule_2960,16,H
molecule_2960,17,H
molecule_2960,18,H
molecule_2960,19,H
molecule_2960,20,H
molecule_2960,21,H
molecule_2960,22,H
molecule_3916,1,C
molecule_3916,2,C
molecule_3916,3,N
molecule_3916,4,C
molecule_3916,5,C
molecule_3916,6,C
molecule_3916,7,C
molecule_3916,8,C
molecule_3916,9,C
molecule_3916,10,O
molecule_3916,11,O
molecule_3916,12,C
molecule_3916,13,C
molecule_3916,14,Cl
molecule_3916,15,C
molecule_3916,16,C
molecule_3916,17,C
molecule_3916,18,C
molecule_3916,19,O
molecule_3916,20,O
molecule_3916,21,Na
molecule_3916,22,Na
molecule_3916,23,H
molecule_3916,24,H
molecule_3916,25,H
molecule_3916,26,H
molecule_3916,27,H
molecule_3916,28,H
molecule_3916,29,H
molecule_3916,30,H
molecule_3916,31,H
molecule_3916,32,H
molecule_3101,1,N
molecule_3101,2,C
molecule_3101,3,C
molecule_3101,4,N
molecule_3101,5,N
molecule_3101,6,O
molecule_3101,7,C
molecule_3101,8,O
molecule_3101,9,C
molecule_3101,10,Cl
molecule_3101,11,C
molecule_3101,12,S
molecule_3101,13,N
molecule_3101,14,O
molecule_3101,15,O
molecule_3101,16,C
molecule_3101,17,C
molecule_3101,18,H
molecule_3101,19,H
molecule_3101,20,H
molecule_3101,21,H
molecule_3101,22,H
molecule_3101,23,H
molecule_3101,24,H
molecule_3101,25,H
molecule_3101,26,H
molecule_3101,27,H
molecule_3101,28,H
molecule_3101,29,H
molecule_3101,30,H
molecule_3101,31,H
molecule_3101,32,H
molecule_2783,1,N
molecule_2783,2,C
molecule_2783,3,C
molecule_2783,4,N
molecule_2783,5,C
molecule_2783,6,C
molecule_2783,7,O
molecule_2783,8,O
molecule_2783,9,O
molecule_2783,10,H
molecule_2783,11,H
molecule_2783,12,H
molecule_2783,13,H
molecule_2783,14,H
molecule_2783,15,H
molecule_2783,16,H
molecule_2783,17,H
molecule_2783,18,H
molecule_2783,19,H
molecule_3418,1,C
molecule_3418,2,C
molecule_3418,3,C
molecule_3418,4,N
molecule_3418,5,C
molecule_3418,6,C
molecule_3418,7,C
molecule_3418,8,N
molecule_3418,9,C
molecule_3418,10,C
molecule_3418,11,C
molecule_3418,12,C
molecule_3418,13,C
molecule_3418,14,O
molecule_3418,15,H
molecule_3418,16,H
molecule_3418,17,H
molecule_3418,18,H
molecule_3418,19,H
molecule_3418,20,H
molecule_3418,21,H
molecule_3418,22,H
molecule_3418,23,H
molecule_3418,24,H
molecule_3475,1,C
molecule_3475,2,C
molecule_3475,3,C
molecule_3475,4,C
molecule_3475,5,C
molecule_3475,6,C
molecule_3475,7,C
molecule_3475,8,C
molecule_3475,9,C
molecule_3475,10,C
molecule_3475,11,C
molecule_3475,12,C
molecule_3475,13,C
molecule_3475,14,C
molecule_3475,15,C
molecule_3475,16,C
molecule_3475,17,C
molecule_3475,18,C
molecule_3475,19,C
molecule_3475,20,H
molecule_3475,21,H
molecule_3475,22,H
molecule_3475,23,H
molecule_3475,24,H
molecule_3475,25,H
molecule_3475,26,H
molecule_3475,27,H
molecule_3475,28,H
molecule_3475,29,H
molecule_3475,30,H
molecule_3475,31,H
molecule_3475,32,H
molecule_3475,33,H
molecule_2935,1,C
molecule_2935,2,C
molecule_2935,3,C
molecule_2935,4,C
molecule_2935,5,C
molecule_2935,6,C
molecule_2935,7,C
molecule_2935,8,C
molecule_2935,9,C
molecule_2935,10,C
molecule_2935,11,C
molecule_2935,12,C
molecule_2935,13,N
molecule_2935,14,C
molecule_2935,15,C
molecule_2935,16,C
molecule_2935,17,H
molecule_2935,18,H
molecule_2935,19,H
molecule_2935,20,H
molecule_2935,21,H
molecule_2935,22,H
molecule_2935,23,H
molecule_2935,24,H
molecule_2935,25,H
molecule_3501,1,C
molecule_3501,2,C
molecule_3501,3,C
molecule_3501,4,C
molecule_3501,5,O
molecule_3501,6,C
molecule_3501,7,C
molecule_3501,8,C
molecule_3501,9,C
molecule_3501,10,C
molecule_3501,11,O
molecule_3501,12,C
molecule_3501,13,C
molecule_3501,14,H
molecule_3501,15,H
molecule_3501,16,H
molecule_3501,17,H
molecule_3501,18,H
molecule_3501,19,H
molecule_3501,20,H
molecule_3501,21,H
molecule_3501,22,H
molecule_3501,23,H
molecule_3501,24,H
molecule_3501,25,H
molecule_3501,26,H
molecule_3501,27,H
molecule_3501,28,H
molecule_3501,29,H
molecule_3501,30,H
molecule_3501,31,H
molecule_3501,32,H
molecule_3501,33,H
molecule_4259,1,C
molecule_4259,2,C
molecule_4259,3,C
molecule_4259,4,C
molecule_4259,5,N
molecule_4259,6,O
molecule_4259,7,O
molecule_4259,8,C
molecule_4259,9,C
molecule_4259,10,C
molecule_4259,11,C
molecule_4259,12,C
molecule_4259,13,C
molecule_4259,14,O
molecule_4259,15,O
molecule_4259,16,O
molecule_4259,17,H
molecule_4259,18,H
molecule_4259,19,H
molecule_4259,20,H
molecule_4259,21,H
molecule_4259,22,H
molecule_4259,23,H
molecule_4259,24,H
molecule_4259,25,H
molecule_4259,26,H
molecule_4259,27,H
molecule_4259,28,H
molecule_4259,29,H
molecule_4259,30,H
molecule_4259,31,H
molecule_2862,1,C
molecule_2862,2,C
molecule_2862,3,C
molecule_2862,4,N
molecule_2862,5,C
molecule_2862,6,C
molecule_2862,7,O
molecule_2862,8,O
molecule_2862,9,C
molecule_2862,10,N
molecule_2862,11,N
molecule_2862,12,O
molecule_2862,13,O
molecule_2862,14,O
molecule_2862,15,O
molecule_2862,16,H
molecule_2862,17,H
molecule_2862,18,H
molecule_2944,1,C
molecule_2944,2,C
molecule_2944,3,C
molecule_2944,4,N
molecule_2944,5,C
molecule_2944,6,N
molecule_2944,7,C
molecule_2944,8,N
molecule_2944,9,C
molecule_2944,10,C
molecule_2944,11,N
molecule_2944,12,C
molecule_2944,13,C
molecule_2944,14,C
molecule_2944,15,N
molecule_2944,16,C
molecule_2944,17,C
molecule_2944,18,H
molecule_2944,19,H
molecule_2944,20,H
molecule_2944,21,H
molecule_2944,22,H
molecule_2944,23,H
molecule_2944,24,H
molecule_2944,25,H
molecule_2944,26,H
molecule_2944,27,H
molecule_2944,28,H
molecule_2944,29,H
molecule_2944,30,H
molecule_2989,1,C
molecule_2989,2,C
molecule_2989,3,C
molecule_2989,4,C
molecule_2989,5,C
molecule_2989,6,C
molecule_2989,7,C
molecule_2989,8,C
molecule_2989,9,O
