g_id,node,type,x,y
image11_37,14,intersection,217,264
image11_37,15,intersection,207,244
image11_37,16,endpoint,296,201
image11_37,17,intersection,308,264
image3_31,0,corner,28,277
image3_31,1,corner,80,357
image3_31,2,corner,82,159
image3_31,3,corner,73,434
image3_31,4,corner,447,439
image3_31,5,circle,259,315
image3_31,6,corner,445,366
image21_14,0,corner,319,170
image21_14,1,intersection,235,256
image21_14,2,corner,302,252
image21_14,3,corner,341,368
image21_14,4,intersection,145,450
image21_14,5,intersection,307,267
image21_14,6,corner,195,149
image21_14,7,corner,231,183
image21_14,8,corner,306,176
image21_14,9,corner,130,59
image21_14,10,corner,233,324
image21_14,11,corner,402,477
image21_14,12,corner,229,252
image21_14,13,corner,301,336
image21_14,14,corner,232,274
image21_14,15,corner,379,62
image21_14,16,corner,196,359
image21_14,17,endpoint,167,471
image15_31,0,corner,437,261
image15_31,1,corner,9,41
image15_31,2,intersection,450,248
image15_31,3,corner,218,397
image15_31,4,corner,298,317
image15_31,5,corner,167,261
image15_31,6,corner,329,318
image15_31,7,corner,372,271
image15_31,8,intersection,161,202
image15_31,9,corner,432,41
image15_31,10,corner,219,99
image15_31,11,corner,11,474
image15_31,12,intersection,158,332
image15_31,13,corner,90,261
image15_31,14,corner,302,203
image15_31,15,corner,296,233
image15_31,16,intersection,317,202
image15_31,17,corner,442,169
image15_31,18,corner,436,236
image15_31,19,corner,168,163
image15_31,20,endpoint,503,248
image15_31,21,corner,133,204
image15_31,22,corner,439,476
image15_31,23,intersection,309,324
image13_28,0,intersection,399,262
image13_28,1,endpoint,92,206
image13_28,2,corner,226,110
image13_28,3,endpoint,112,124
image13_28,4,corner,289,365
image13_28,5,corner,345,188
image13_28,6,intersection,301,209
image13_28,7,endpoint,463,270
image13_28,8,endpoint,54,274
image13_28,9,intersection,330,291
image13_28,10,endpoint,90,347
image17_12,0,corner,454,206
image17_12,1,intersection,335,220
image17_12,2,corner,465,299
image17_12,3,corner,66,294
image17_12,4,intersection,343,314
image17_12,5,corner,63,219
image17_12,6,circle,400,250
image9_25,0,corner,127,115
image9_25,1,corner,446,449
image9_25,2,corner,388,387
image9_25,3,corner,473,48
image9_25,4,corner,50,61
image9_25,5,corner,52,453
image9_25,6,corner,385,128
image9_25,7,corner,107,400
image12_18,0,corner,154,147
image12_18,1,intersection,130,260
image12_18,2,corner,364,246
image12_18,3,corner,161,332
image12_18,4,endpoint,464,268
image12_18,5,corner,387,289
image12_18,6,intersection,161,356
image12_18,7,endpoint,63,268
image12_18,8,corner,382,358
image12_18,9,intersection,402,280
image12_18,10,intersection,363,157
image12_18,11,corner,377,164
image12_18,12,corner,167,372
image18_44,0,corner,105,358
image18_44,1,intersection,87,212
image18_44,2,corner,70,203
image18_44,3,corner,109,151
image18_44,4,corner,46,283
image18_44,5,corner,439,144
image18_44,6,corner,433,357
image18_44,7,corner,445,306
image18_44,8,corner,464,184
image18_44,9,intersection,96,312
image18_44,10,corner,111,218
image17_27,0,intersection,334,214
image17_27,1,intersection,344,302
image17_27,2,corner,51,304
image17_27,3,circle,394,246
image17_27,4,corner,462,302
image17_27,5,corner,49,213
image17_27,6,corner,451,215
image1_47,0,corner,91,437
image1_47,1,corner,441,411
image1_47,2,corner,450,454
image1_47,3,intersection,429,423
image1_47,4,corner,69,48
image1_47,5,corner,89,405
image1_47,6,corner,450,71
image1_47,7,corner,96,446
image1_47,8,intersection,94,413
image20_49,0,corner,366,388
image20_49,1,intersection,428,392
image20_49,2,corner,120,355
image20_49,3,corner,33,523
image20_49,4,intersection,213,353
image20_49,5,corner,95,147
image20_49,6,corner,-1,400
image20_49,7,corner,355,330
image20_49,8,corner,4,504
image20_49,9,corner,520,395
image20_49,10,corner,521,516
image20_49,11,corner,178,386
image20_49,12,intersection,236,343
image20_49,13,intersection,332,359
image20_49,14,intersection,408,326
image20_49,15,intersection,147,376
image19_25,0,intersection,215,243
image19_25,1,corner,379,471
image19_25,2,intersection,299,227
image19_25,3,corner,379,248
image19_25,4,intersection,300,241
image19_25,5,corner,144,239
image19_25,6,corner,135,449
image19_25,7,intersection,288,221
image4_3,0,corner,455,446
image4_3,1,corner,57,56
image4_3,2,intersection,425,439
image4_3,3,corner,48,429
image4_3,4,corner,101,462
image4_3,5,corner,476,45
image4_3,6,corner,415,468
image4_3,7,intersection,90,436
image14_49,0,intersection,89,259
image14_49,1,endpoint,390,89
image14_49,2,intersection,313,180
image14_49,3,corner,104,235
image14_49,4,endpoint,540,253
image14_49,5,corner,241,172
image14_49,6,endpoint,125,417
image14_49,7,intersection,318,186
image14_49,8,intersection,187,323
image14_49,9,endpoint,13,268
image14_49,10,intersection,197,330
image14_49,11,intersection,441,265
image14_49,12,corner,251,355
image8_34,0,corner,262,127
image8_34,1,corner,469,214
image8_34,2,corner,417,369
image8_34,3,corner,151,279
image8_34,4,endpoint,115,346
image8_34,5,corner,399,340
image8_34,6,corner,155,77
image8_34,7,endpoint,426,376
image12_20,0,corner,138,139
image12_20,1,intersection,131,287
image12_20,2,corner,389,271
image12_20,3,corner,147,346
image12_20,4,endpoint,464,268
image12_20,5,corner,367,269
image12_20,6,intersection,167,350
image12_20,7,endpoint,69,280
image12_20,8,corner,368,372
image12_20,9,intersection,403,253
image12_20,10,intersection,353,147
image12_20,11,corner,370,171
image12_20,12,corner,166,363
image9_41,0,corner,101,409
image9_41,1,corner,496,488
image9_41,2,corner,416,102
image9_41,3,corner,427,417
image9_41,4,corner,35,23
image9_41,5,corner,113,103
image9_41,6,corner,492,29
image9_41,7,corner,30,489
image14_3,0,endpoint,-32,264
image14_3,1,endpoint,387,102
image14_3,2,endpoint,118,421
image14_3,3,intersection,179,335
image14_3,4,intersection,431,265
image14_3,5,intersection,315,182
image14_3,6,intersection,293,167
image14_3,7,corner,259,357
image14_3,8,endpoint,553,242
image14_3,9,corner,271,144
image14_3,10,intersection,99,249
image14_3,11,intersection,191,320
image2_46,0,endpoint,460,460
image2_46,1,corner,432,52
image2_46,2,corner,461,401
image2_46,3,endpoint,82,451
image11_9,0,endpoint,226,195
image11_9,1,intersection,202,256
image11_9,2,endpoint,529,270
image11_9,3,intersection,202,245
image11_9,4,intersection,283,257
image11_9,5,intersection,298,266
image11_9,6,intersection,401,259
image11_9,7,endpoint,61,249
image11_9,8,endpoint,309,185
image11_9,9,corner,131,251
image11_9,10,intersection,125,271
image11_9,11,intersection,134,258
image11_9,12,endpoint,167,309
image11_9,13,endpoint,276,317
image11_9,14,corner,196,222
image11_9,15,intersection,406,271
image11_9,16,corner,301,235
image17_20,0,corner,524,194
image17_20,1,intersection,370,191
image17_20,2,corner,543,309
image17_20,3,corner,-10,316
image17_20,4,intersection,391,326
image17_20,5,corner,-17,195
image17_20,6,circle,466,264
image17_3,0,corner,535,315
image17_3,1,corner,-3,177
image17_3,2,corner,533,195
image17_3,3,corner,382,299
image17_3,4,circle,441,240
image17_3,5,intersection,385,205
image17_3,6,corner,-24,318
image17_3,7,intersection,371,311
image16_28,0,corner,251,244
image16_28,1,corner,-14,127
image16_28,2,corner,541,195
image16_28,3,intersection,269,258
image16_28,4,corner,376,179
image16_28,5,corner,538,330
image16_28,6,corner,386,329
image16_28,7,corner,241,140
image16_28,8,corner,-3,403
image16_28,9,corner,270,254
image16_28,10,corner,255,389
image16_28,11,intersection,386,268
image17_18,0,corner,536,202
image17_18,1,intersection,380,201
image17_18,2,intersection,549,323
image17_18,3,corner,-3,309
image17_18,4,intersection,377,332
image17_18,5,corner,-11,201
image17_18,6,circle,453,251
image17_18,7,endpoint,589,327
image21_1,0,corner,216,171
image21_1,1,corner,410,17
image21_1,2,corner,191,132
image21_1,3,corner,332,133
image21_1,4,corner,307,168
image21_1,5,corner,221,260
image21_1,6,corner,185,377
image21_1,7,intersection,308,259
image21_1,8,corner,312,346
image21_1,9,intersection,227,257
image21_1,10,corner,219,345
image21_1,11,corner,110,497
image21_1,12,corner,114,15
image21_1,13,corner,215,243
image21_1,14,corner,329,383
image21_1,15,corner,403,501
image9_2,0,corner,81,445
image9_2,1,corner,82,69
image9_2,2,corner,450,68
image9_2,3,corner,550,543
image9_2,4,corner,449,435
image9_2,5,corner,-14,520
image9_2,6,corner,521,-25
image9_2,7,corner,0,-29
image9_8,0,corner,121,393
image9_8,1,corner,140,105
image9_8,2,corner,404,130
image9_8,3,corner,474,447
image9_8,4,corner,389,397
image9_8,5,corner,48,456
image9_8,6,corner,468,64
image9_8,7,corner,47,66
image18_19,0,intersection,53,338
image18_19,1,corner,532,307
image18_19,2,corner,67,365
image18_19,3,corner,-6,313
image18_19,4,corner,507,297
image18_19,5,corner,512,180
image18_19,6,intersection,532,317
image18_19,7,intersection,54,180
image18_19,8,intersection,522,192
image18_19,9,corner,40,101
image18_19,10,corner,525,170
image18_19,11,corner,507,382
image18_19,12,corner,496,116
image18_19,13,corner,503,334
image18_19,14,corner,-7,164
image3_26,0,corner,109,407
image3_26,1,circle,249,297
image3_26,2,corner,399,341
image3_26,3,corner,125,335
image3_26,4,corner,410,404
image4_47,0,corner,530,-12
image4_47,1,corner,-6,494
image4_47,2,corner,519,490
image4_47,3,corner,-4,-11
image2_19,0,corner,55,459
image2_19,1,corner,439,409
image2_19,2,corner,460,414
image2_19,3,intersection,91,406
image2_19,4,intersection,432,408
image2_19,5,corner,425,376
image2_19,6,corner,51,405
image2_19,7,corner,469,456
image2_19,8,corner,459,402
image2_19,9,corner,90,458
image2_19,10,corner,447,439
image2_19,11,corner,427,63
image11_50,0,corner,316,129
image11_50,1,intersection,408,260
image11_50,2,intersection,397,266
image11_50,3,intersection,273,279
image11_50,4,corner,164,367
image11_50,5,endpoint,284,320
image11_50,6,endpoint,532,247
image11_50,7,intersection,150,263
image11_50,8,endpoint,313,177
image11_50,9,corner,147,312
image11_50,10,corner,118,220
image11_50,11,corner,392,284
image11_50,12,endpoint,243,203
image11_50,13,intersection,156,346
image11_50,14,endpoint,-14,262
image11_50,15,intersection,234,256
image11_50,16,corner,233,253
image11_50,17,intersection,121,280
image11_50,18,intersection,199,261
image11_50,19,intersection,313,256
image22_8,0,corner,252,181
image22_8,1,intersection,270,181
image22_8,2,endpoint,253,467
image22_8,3,intersection,255,174
image22_8,4,intersection,259,55
image22_8,5,corner,130,60
image22_8,6,corner,405,38
image14_44,0,intersection,110,280
image14_44,1,endpoint,381,86
image14_44,2,intersection,309,184
image14_44,3,corner,120,251
image14_44,4,endpoint,536,269
image14_44,5,corner,235,156
image14_44,6,endpoint,109,433
image14_44,7,intersection,311,193
image14_44,8,intersection,174,338
image14_44,9,endpoint,8,273
image14_44,10,intersection,217,338
image14_44,11,intersection,438,254
image14_44,12,corner,251,355
image22_29,0,intersection,251,184
image22_29,1,corner,129,49
image22_29,2,corner,390,49
image22_29,3,endpoint,243,449
image22_29,4,intersection,260,56
image22_9,0,corner,254,179
image22_9,1,intersection,260,191
