g_id,node,charge,chem,symbol,x,y
2340,_53,0,2,O,20.1865,-2.25
2340,_54,0,2,O,18.8205,-1.884
2340,_55,0,2,O,19.8205,-3.6161
2340,_56,0,2,O,17.5884,-6.75
2340,_57,0,2,O,16.5884,-5.75
2340,_58,0,2,O,18.5884,-5.75
15411,_1,0,1,C,4.5981,-1.25
15411,_2,0,1,C,5.4641,-1.75
15411,_3,0,1,C,6.3301,-1.25
15411,_4,0,1,C,6.3301,-0.25
15411,_5,0,1,C,5.4641,0.25
15411,_6,0,1,C,4.5981,-0.25
15411,_7,0,1,C,3.7321,0.25
15411,_8,0,1,C,2.866,-0.25
15411,_9,0,4,N,2,-0.75
15411,_10,0,1,C,5.4641,1.25
15411,_11,0,2,O,6.3301,1.75
15411,_12,0,2,O,4.5981,1.75
22793,_1,0,1,C,21.9822,-6.5511
22793,_2,0,2,O,21.6731,-7.5021
22793,_3,0,1,C,22.4822,-8.0899
22793,_4,0,1,C,23.2912,-7.5022
22793,_5,0,1,C,22.9822,-6.5511
22793,_6,0,4,N,23.57,-5.7421
22793,_7,1,4,N,24.5645,-5.8466
22793,_8,-1,4,N,25.559,-5.9511
22793,_9,0,1,C,21.3944,-5.7421
22793,_10,0,6,P,19.8121,-5.0376
22793,_11,0,2,O,19.0031,-5.6254
22793,_12,0,2,O,20.6211,-4.4498
22793,_13,0,2,O,19.2243,-4.2286
22793,_14,0,6,P,18.2298,-4.3331
22793,_15,0,2,O,18.1253,-3.3386
22793,_16,0,2,O,18.3343,-5.3276
22793,_17,0,2,O,17.2353,-4.4376
22793,_18,0,2,O,20.3999,-5.8466
22793,_19,0,1,C,16.6475,-3.6286
22793,_20,0,1,C,15.653,-3.7331
22793,_21,0,1,C,15.5484,-2.7386
22793,_22,0,1,C,15.7575,-4.7276
22793,_23,0,2,O,14.6584,-3.8376
22793,_24,0,1,C,14.0707,-3.0286
22793,_25,0,2,O,14.4774,-2.1151
22793,_26,0,1,C,13.0761,-3.1331
22793,_27,0,4,N,22.4822,-9.0899
22793,_28,0,1,C,21.6161,-9.5899
22793,_29,0,2,O,20.7501,-9.0899
22793,_30,0,4,N,21.6161,-10.5899
22793,_31,0,1,C,22.4822,-11.0899
22793,_32,0,2,O,22.4821,-12.0899
22793,_33,0,1,C,23.3482,-10.5899
22793,_34,0,1,C,24.2142,-11.0899
22793,_35,0,1,C,23.3482,-9.5899
22793,_36,0,1,C,12.4883,-2.3241
22793,_37,0,1,C,11.4938,-2.4286
22793,_38,0,1,C,10.906,-1.6196
22793,_39,0,1,C,9.9115,-1.7241
22793,_40,0,1,C,9.3237,-0.9151
22793,_41,0,1,C,8.3292,-1.0197
22793,_42,0,1,C,7.7414,-0.2106
22793,_43,0,1,C,6.7469,-0.3152
22793,_44,0,1,C,6.1591,0.4939
22793,_45,0,1,C,5.1646,0.3893
22793,_46,0,1,C,4.5768,1.1984
22793,_47,0,1,C,3.5823,1.0938
22793,_48,0,1,C,2.9945,1.9028
22793,_49,0,1,C,2,1.7983
22793,_50,0,5,S,16.3574,-2.1508
22793,_51,0,1,C,16.2529,-1.1563
22793,_52,0,1,C,17.0619,-0.5685
22793,_53,0,1,C,16.9574,0.426
22793,_54,0,1,C,17.7664,1.0138
22793,_55,0,1,C,17.6619,2.0083
22793,_56,0,1,C,18.4709,2.5961
22793,_57,0,1,C,18.3664,3.5906
22793,_58,0,1,C,19.1754,4.1784
22793,_59,0,1,C,19.0709,5.1729
22793,_60,0,1,C,19.8799,5.7607
22793,_61,0,1,C,19.7754,6.7552
22793,_62,0,1,C,20.5844,7.343
22793,_63,0,1,C,20.4799,8.3375
22793,_64,0,1,C,21.2889,8.9253
22793,_65,0,1,C,21.1844,9.9198
22793,_66,0,1,C,21.9934,10.5076
22793,_67,0,1,C,21.8889,11.5022
22793,_68,0,1,C,22.6979,12.0899
22793,_69,0,29,Na,27.559,0
1102,_1,0,6,P,3.7321,-0.433
1102,_2,0,4,N,4.5981,0.067
1102,_3,0,4,N,2.866,-0.933
1102,_4,0,4,N,3.2321,0.433
1102,_5,0,2,O,4.2321,-1.299
1102,_6,0,1,C,5.4641,-0.433
1102,_7,0,1,C,2,-0.433
1102,_8,0,1,C,3.7321,1.299
10992,_1,0,1,C,5.4641,1.067
10992,_2,0,1,C,4.5981,0.567
10992,_3,0,2,O,3.7321,1.067
10992,_4,0,1,C,4.5981,-0.433
10992,_5,0,4,N,4.5981,-1.433
10992,_6,0,17,Si,2.866,0.567
10992,_7,0,1,C,2,0.067
10992,_8,0,1,C,3.366,-0.299
10992,_9,0,1,C,2.366,1.433
10992,_10,0,1,C,7.1962,1.067
10992,_11,0,1,C,6.3301,0.567
7963,_1,0,6,P,2.866,-0.317
7963,_2,0,1,C,3.7321,0.183
7963,_3,0,2,O,2,-0.817
7963,_4,0,2,O,3.366,-1.183
7963,_5,0,2,O,2.366,0.549
7963,_6,0,2,O,4.5981,-0.317
7963,_7,0,2,O,3.7321,1.183
34225,_1,0,1,C,3.7321,-0.5
34225,_2,0,1,C,3.7321,0.5
34225,_3,0,1,C,2.866,1
34225,_4,0,1,C,2,0.5
34225,_5,0,1,C,2,-0.5
34225,_6,0,1,C,2.866,-1
34225,_7,0,4,N,2.866,-2
34225,_8,0,1,C,2,-2.5
34225,_9,0,4,N,2.866,2
34225,_10,0,2,O,3.7321,2.5
22527,_1,0,1,C,4.0981,1.9081
22527,_2,0,1,C,5.0981,1.9081
22527,_3,0,1,C,5.4071,0.9571
22527,_4,0,1,C,4.5981,0.3693
22527,_5,0,2,O,3.7891,0.9571
22527,_6,0,1,C,3.5103,2.7172
22527,_7,0,2,O,3.917,3.6307
22527,_8,0,4,N,4.5981,-0.6307
22527,_9,0,1,C,5.4641,-1.1307
22527,_10,0,4,N,5.4641,-2.1307
22527,_11,0,1,C,4.5981,-2.6307
22527,_12,0,2,O,4.5981,-3.6307
22527,_13,0,1,C,3.732,-2.1307
22527,_14,0,1,C,3.232,-2.9967
22527,_15,0,2,O,6.3301,-0.6307
22527,_16,0,1,C,3.7321,-1.1307
22527,_17,0,2,O,2.866,-0.6307
22527,_18,0,10,Br,2.732,-2.1307
22527,_19,0,22,F,5.6859,2.7172
22527,_20,0,1,C,2,-1.1307
33169,_1,0,1,C,2.866,0.5
33169,_2,0,4,N,3.7321,1
33169,_3,0,1,C,4.5981,0.5
33169,_4,0,1,C,4.5981,-0.5
33169,_5,0,1,C,3.7321,-1
33169,_6,0,4,N,2.866,-0.5
33169,_7,0,4,N,5.5491,0.809
33169,_8,0,4,N,6.1369,0
33169,_9,0,5,S,2,1
33169,_10,0,4,N,5.5491,-0.809
7086,_1,0,1,C,5.1906,0.6706
7086,_2,0,4,N,6.1906,0.6706
7086,_3,0,1,C,4.1906,0.6706
7086,_4,0,1,C,3.7568,-0.2304
7086,_5,0,5,S,3.7568,1.5715
7086,_6,0,1,C,4.3803,-1.0122
7086,_7,0,5,S,2.7818,-0.4529
7086,_8,0,1,C,2.7818,1.7941
7086,_9,0,4,N,5.0037,-1.7941
7086,_10,0,1,C,2,0.1706
7086,_11,0,1,C,2,1.1706
38965,_1,0,1,C,5.2709,-0.5
38965,_2,0,4,N,4.6831,0.309
38965,_3,0,1,C,3.7321,0
38965,_4,0,1,C,3.7321,-1
38965,_5,0,1,C,2.866,0.5
38965,_6,0,4,N,2,0
38965,_7,0,4,N,2,-1
38965,_8,0,1,C,2.866,-1.5
38965,_9,0,4,N,4.6831,-1.309
38965,_10,0,4,N,2.866,1.5
3190,_1,0,1,C,3.7321,1.75
3190,_2,0,1,C,4.5981,2.25
3190,_3,0,1,C,3.7321,0.75
3190,_4,0,1,C,2.866,0.25
3190,_5,0,5,S,4.5981,0.25
3190,_6,0,2,O,2,0.75
3190,_7,0,4,N,2.866,-0.75
3190,_8,0,1,C,4.5981,-0.75
3190,_9,0,1,C,3.732,-1.25
3190,_10,0,1,C,5.4641,-1.25
3190,_11,0,2,O,3.732,-2.25
1689,_1,0,1,C,3.5388,0.5
1689,_2,0,4,N,3.5388,-0.5
1689,_3,0,1,C,4.4899,0.809
1689,_4,0,4,N,2.5878,0.809
1689,_5,0,1,C,2.5878,-0.809
1689,_6,0,4,N,4.4899,-0.809
1689,_7,0,1,C,5.0777,0
1689,_8,0,1,C,2,0
1813,_1,0,4,N,3.7321,0.5
1813,_2,0,1,C,4.5981,1
1813,_3,0,1,C,3.7321,-0.5
1813,_4,0,1,C,4.5981,2
1813,_5,0,1,C,2.866,-1
1813,_6,0,4,N,4.5981,-1
1813,_7,0,2,O,5.4641,2.5
1813,_8,0,4,N,2,-0.5
1813,_9,0,1,C,2.866,-2
1813,_10,0,1,C,4.5981,-2
1813,_11,0,7,Cl,2,-2.5
1813,_12,0,4,N,3.7321,-2.5
831,_1,0,5,S,5.9375,0.1622
831,_2,0,1,C,4.9375,0.1622
831,_3,0,5,S,4.5549,-0.7617
831,_4,0,4,N,4.5549,1.0861
831,_5,0,5,S,3.631,-1.1443
831,_6,0,1,C,3.631,1.4688
831,_7,0,1,C,2.7071,-0.7617
831,_8,0,1,C,2.7071,1.0861
831,_9,0,5,S,2,-1.4688
831,_10,0,4,N,2.3244,0.1622
10193,_1,0,1,C,3.7321,1.567
10193,_2,0,1,C,2.866,1.067
10193,_3,0,1,C,2.866,0.067
10193,_4,0,1,C,3.7321,-0.433
10193,_5,0,1,C,4.5981,0.067
10193,_6,0,1,C,4.5981,1.067
10193,_7,0,1,C,3.2321,2.433
10193,_8,0,1,C,4.2321,2.433
10193,_9,0,2,O,5.4641,-0.433
10193,_10,0,2,O,2,-0.433
10193,_11,1,4,N,3.732,-1.433
10193,_12,-1,4,N,3.732,-2.433
36654,_1,0,4,N,4.5691,-1.0684
36654,_2,0,5,S,3.2601,-2.0194
36654,_3,0,5,S,2.8941,1.0194
36654,_4,0,1,C,3.7601,0.5194
36654,_5,0,1,C,3.7601,-0.4806
36654,_6,0,1,C,2.9511,-1.0684
36654,_7,0,4,N,4.2601,-2.0194
36654,_8,0,4,N,2,-0.7593
36654,_9,0,4,N,4.6261,1.0194
36654,_10,0,1,C,4.6261,2.0194
33702,_1,0,1,C,3.803,-1.3661
33702,_2,0,1,C,2.8249,-1.574
33702,_3,0,1,C,2.3248,-0.708
33702,_4,0,1,C,2.185,0.6229
33702,_5,0,1,C,2.494,1.574
33702,_6,0,1,C,3.9075,-0.3716
33702,_7,0,1,C,3.803,0.623
33702,_8,0,1,C,3.494,1.574
33702,_9,2,27,Pd,2.994,0.0352
33702,_10,-1,1,C,2.8894,1.0297
33702,_11,-1,7,Cl,2,-0.0744
2591,_1,0,16,Se,6.2709,0
2591,_2,0,1,C,5.2709,0
2591,_3,0,4,N,4.6831,0.809
2591,_4,0,2,O,4.6831,-0.809
2591,_5,0,1,C,3.7321,0.5
2591,_6,0,1,C,3.7321,-0.5
2591,_7,0,1,C,2.866,1
2591,_8,0,1,C,2.866,-1
2591,_9,0,1,C,2,0.5
2591,_10,0,1,C,2,-0.5
10257,_1,0,1,C,3.0878,0.9045
10257,_2,0,1,C,2.2788,1.4923
10257,_3,0,1,C,2.5878,2.4433
10257,_4,0,1,C,3.5878,2.4433
10257,_5,0,4,N,3.8968,1.4923
10257,_6,0,4,N,3.0878,-0.0955
10257,_7,0,4,N,2.2788,-0.6833
10257,_8,0,1,C,2.5878,-1.6343
10257,_9,0,4,N,3.5878,-1.6343
10257,_10,0,4,N,3.8968,-0.6833
10257,_11,0,5,S,2,-2.4433
555,_1,0,2,O,2.2788,1.2845
555,_2,0,1,C,2.5878,0.3335
555,_3,0,4,N,3.5388,0.0245
555,_4,0,1,C,2,-0.4755
555,_5,0,1,C,3.5388,-0.9755
555,_6,0,1,C,4.4899,0.3335
555,_7,0,5,S,2.5878,-1.2845
555,_8,0,4,N,4.4899,-1.2845
555,_9,0,1,C,5.0777,-0.4755
39527,_1,0,1,C,5.1893,0.2295
39527,_2,0,4,N,5.7771,-0.5795
39527,_3,0,4,N,5.1893,-1.3885
39527,_4,0,1,C,5.4983,1.1806
39527,_5,0,4,N,2.6994,-0.5795
39527,_6,0,1,C,4.2382,-0.0795
39527,_7,0,1,C,4.2382,-1.0795
39527,_8,0,4,N,3.2872,-1.3885
39527,_9,0,1,C,3.2872,0.2295
39527,_10,0,5,S,2.9781,1.1806
39527,_11,0,1,C,2,1.3885
2790,_1,0,1,C,4.5981,0.25
2790,_2,0,1,C,5.4641,-0.25
2790,_3,0,1,C,3.7321,-0.25
2790,_4,0,4,N,6.3301,0.25
2790,_5,0,1,C,2.866,0.25
2790,_6,0,2,O,3.7321,-1.25
2790,_7,0,4,N,7.1962,-0.25
2790,_8,0,2,O,2,-0.25
2790,_9,0,1,C,8.0622,0.25
2790,_10,0,4,N,8.9282,-0.25
2790,_11,0,4,N,8.0622,1.25
6390,_1,0,4,N,2.809,1.2694
6390,_2,0,1,C,2.809,0.2694
6390,_3,0,5,S,2,-0.3184
6390,_4,0,5,S,3.618,-0.3184
6390,_5,0,1,C,2.309,-1.2694
6390,_6,0,1,C,3.309,-1.2694
9927,_1,0,4,N,4.5092,-0.2682
9927,_2,0,1,C,4.5092,0.6973
9927,_3,0,1,C,3.8876,-1.1801
9927,_4,0,1,C,3.673,-0.571
9927,_5,0,4,N,3.673,1.1801
9927,_6,0,4,N,2.9819,-0.7033
9927,_7,0,4,N,2.8368,-0.2682
9927,_8,0,1,C,2.8368,0.6973
9927,_9,0,1,C,2.9819,0.342
9927,_10,0,1,C,2,-0.751
527,_1,0,17,Si,3.7321,-1
527,_2,0,17,Si,2.866,-0.5
527,_3,0,17,Si,4.5981,-0.5
527,_4,0,2,O,4.5981,-1.5
527,_5,0,17,Si,2.866,0.5
527,_6,0,2,O,2,0
527,_7,0,17,Si,4.5981,0.5
527,_8,0,17,Si,3.732,1
527,_9,0,2,O,4.5981,1.5
6999,_1,0,4,N,3.7321,1.75
6999,_2,0,2,O,4.5981,2.25
6999,_3,0,1,C,3.7321,0.75
6999,_4,0,1,C,2.866,0.25
6999,_5,0,1,C,4.5981,0.25
6999,_6,0,4,N,2,0.75
6999,_7,0,4,N,2.866,-0.75
6999,_8,0,1,C,4.5981,-0.75
6999,_9,0,1,C,3.732,-1.25
6999,_10,0,4,N,3.732,-2.25
4968,_1,0,1,C,3.866,0.683
4968,_2,0,1,C,4.366,-0.183
4968,_3,0,4,N,2.866,0.683
4968,_4,0,5,S,5.366,-0.183
4968,_5,0,1,C,2,0.183
4968,_6,0,1,C,2,1.183
4968,_7,0,1,C,6.366,-0.183
4968,_8,0,2,O,5.366,0.817
4968,_9,0,2,O,5.366,-1.183
4968,_10,0,1,C,6.866,-1.049
25367,_1,0,1,C,3.5,-1.2243
25367,_2,0,1,C,4.5,-1.2243
25367,_3,0,1,C,5.866,0.1418
25367,_4,0,1,C,7.698,-0.0994
25367,_5,0,4,N,3.5,0.5078
25367,_6,0,1,C,3,-0.3582
25367,_7,0,2,O,2,-0.3582
25367,_8,0,1,C,6.1248,1.1077
25367,_9,0,1,C,5.3882,2.0903
25367,_10,0,1,C,5,-2.0903
25367,_11,0,1,C,8.198,-0.9655
25367,_12,0,1,C,8.564,0.4006
9615,_1,0,2,O,3.7321,2
9615,_2,0,5,S,3.7321,1
9615,_3,0,1,C,2.866,0.5
9615,_4,0,1,C,4.5981,0.5
9615,_5,0,1,C,2,1
9615,_6,0,1,C,2.866,-0.5
9615,_7,0,1,C,5.4641,1
9615,_8,0,5,S,4.5981,-0.5
9615,_9,0,1,C,3.732,-1
9615,_10,0,1,C,3.732,-2
10725,_1,0,4,N,4.2601,-0.4081
10725,_2,0,1,C,4.5691,0.5429
10725,_3,0,1,C,3.7601,1.1307
10725,_4,0,1,C,2.9511,0.5429
10725,_5,0,1,C,3.2601,-0.4081
10725,_6,0,1,C,2.6723,-1.2172
10725,_7,0,2,O,3.079,-2.1307
10725,_8,0,1,C,5.5201,0.8519
10725,_9,0,2,O,6.2633,0.1828
10725,_10,0,2,O,3.7601,2.1307
10725,_11,0,2,O,2,0.8519
10725,_12,0,7,Cl,8.2633,0
2187,_1,0,2,O,6.0799,0.5878
2187,_2,0,5,S,5.2709,0
2187,_3,0,2,O,6.0799,-0.5878
2187,_4,0,2,O,4.6831,0.809
2187,_5,0,2,O,4.6831,-0.809
2187,_6,0,1,C,3.7321,0.5
2187,_7,0,1,C,3.7321,-0.5
2187,_8,0,1,C,2.866,1
2187,_9,0,1,C,2.866,-1
2187,_10,0,1,C,2,0.5
2187,_11,0,1,C,2,-0.5
18857,_1,0,1,C,16.7224,-3.25
18857,_2,0,1,C,15.8564,-2.75
18857,_3,0,1,C,14.9904,-3.25
18857,_4,0,1,C,14.9904,-4.25
18857,_5,0,1,C,15.8564,-4.75
18857,_6,0,1,C,16.7224,-4.25
18857,_7,0,2,O,14.1243,-4.75
18857,_8,0,1,C,17.5884,-4.75
18857,_9,0,2,O,18.4545,-4.25
18857,_10,0,2,O,17.5884,-5.75
